Date,Well,Oil.Calday,Water.Calday,Sc.Sand
12/1/1987,01-02,432,0,CHANNEL
1/1/1988,01-02,518,0,CHANNEL
2/1/1988,01-02,452,0,CHANNEL
3/1/1988,01-02,446,0,CHANNEL
4/1/1988,01-02,450,0,CHANNEL
5/1/1988,01-02,456,0,CHANNEL
6/1/1988,01-02,445,0,CHANNEL
7/1/1988,01-02,401,0,CHANNEL
8/1/1988,01-02,415,0,CHANNEL
9/1/1988,01-02,324,0,CHANNEL
10/1/1988,01-02,403,0,CHANNEL
11/1/1988,01-02,387,0,CHANNEL
12/1/1988,01-02,375,0,CHANNEL
1/1/1989,01-02,339,0,CHANNEL
2/1/1989,01-02,368,0,CHANNEL
3/1/1989,01-02,369,0,CHANNEL
4/1/1989,01-02,371,0,CHANNEL
5/1/1989,01-02,354,0,CHANNEL
6/1/1989,01-02,357,0,CHANNEL
7/1/1989,01-02,248,0,CHANNEL
8/1/1989,01-02,336,0,CHANNEL
9/1/1989,01-02,301,0,CHANNEL
10/1/1989,01-02,326,0,CHANNEL
11/1/1989,01-02,328,0,CHANNEL
12/1/1989,01-02,358,0,CHANNEL
1/1/1990,01-02,329,0,CHANNEL
2/1/1990,01-02,316,0,CHANNEL
3/1/1990,01-02,323,0,CHANNEL
4/1/1990,01-02,327,0,CHANNEL
5/1/1990,01-02,316,0,CHANNEL
6/1/1990,01-02,333,0,CHANNEL
7/1/1990,01-02,328,0,CHANNEL
8/1/1990,01-02,326,0,CHANNEL
9/1/1990,01-02,323,0,CHANNEL
10/1/1990,01-02,269,0,CHANNEL
11/1/1990,01-02,299,0,CHANNEL
12/1/1990,01-02,343,0,CHANNEL
1/1/1991,01-02,352,0,CHANNEL
2/1/1991,01-02,335,0,CHANNEL
3/1/1991,01-02,288,0,CHANNEL
4/1/1991,01-02,339,0,CHANNEL
5/1/1991,01-02,374,0,CHANNEL
6/1/1991,01-02,387,0,CHANNEL
7/1/1991,01-02,365,0,CHANNEL
8/1/1991,01-02,364,0,CHANNEL
9/1/1991,01-02,362,0,CHANNEL
10/1/1991,01-02,366,0,CHANNEL
11/1/1991,01-02,361,0,CHANNEL
12/1/1991,01-02,364,0,CHANNEL
1/1/1992,01-02,361,0,CHANNEL
2/1/1992,01-02,354,0,CHANNEL
3/1/1992,01-02,343,0,CHANNEL
4/1/1992,01-02,310,0,CHANNEL
5/1/1992,01-02,298,0,CHANNEL
6/1/1992,01-02,246,0,CHANNEL
7/1/1992,01-02,325,0,CHANNEL
8/1/1992,01-02,339,0,CHANNEL
9/1/1992,01-02,326,0,CHANNEL
10/1/1992,01-02,333,0,CHANNEL
11/1/1992,01-02,324,0,CHANNEL
12/1/1992,01-02,290,0,CHANNEL
1/1/1993,01-02,301,0,CHANNEL
2/1/1993,01-02,306,0,CHANNEL
3/1/1993,01-02,272,0,CHANNEL
4/1/1993,01-02,284,0,CHANNEL
5/1/1993,01-02,312,0,CHANNEL
6/1/1993,01-02,322,0,CHANNEL
7/1/1993,01-02,309,0,CHANNEL
8/1/1993,01-02,286,0,CHANNEL
9/1/1993,01-02,295,0,CHANNEL
10/1/1993,01-02,278,0,CHANNEL
11/1/1993,01-02,292,0,CHANNEL
12/1/1993,01-02,283,0,CHANNEL
1/1/1994,01-02,283,0,CHANNEL
2/1/1994,01-02,313,0,CHANNEL
3/1/1994,01-02,283,0,CHANNEL
11/1/1984,01-10,150,35,CHANNEL
12/1/1984,01-10,192,66,CHANNEL
1/1/1985,01-10,172,72,CHANNEL
2/1/1985,01-10,188,43,CHANNEL
3/1/1985,01-10,167,35,CHANNEL
4/1/1985,01-10,144,25,CHANNEL
5/1/1985,01-10,129,27,CHANNEL
6/1/1985,01-10,133,19,CHANNEL
7/1/1985,01-10,101,17,CHANNEL
8/1/1985,01-10,103,13,CHANNEL
9/1/1985,01-10,106,23,CHANNEL
10/1/1985,01-10,145,24,CHANNEL
11/1/1985,01-10,177,30,CHANNEL
12/1/1985,01-10,174,31,CHANNEL
1/1/1986,01-10,145,46,CHANNEL
2/1/1986,01-10,137,52,CHANNEL
3/1/1986,01-10,117,46,CHANNEL
4/1/1986,01-10,128,54,CHANNEL
5/1/1986,01-10,117,41,CHANNEL
6/1/1986,01-10,141,34,CHANNEL
7/1/1986,01-10,132,47,CHANNEL
8/1/1986,01-10,134,33,CHANNEL
9/1/1986,01-10,129,43,CHANNEL
10/1/1986,01-10,127,42,CHANNEL
11/1/1986,01-10,126,43,CHANNEL
12/1/1986,01-10,126,37,CHANNEL
1/1/1987,01-10,123,28,CHANNEL
2/1/1987,01-10,136,29,CHANNEL
3/1/1987,01-10,116,37,CHANNEL
4/1/1987,01-10,120,40,CHANNEL
5/1/1987,01-10,115,28,CHANNEL
6/1/1987,01-10,112,45,CHANNEL
7/1/1987,01-10,117,33,CHANNEL
8/1/1987,01-10,118,36,CHANNEL
9/1/1987,01-10,115,32,CHANNEL
10/1/1987,01-10,111,29,CHANNEL
11/1/1987,01-10,108,30,CHANNEL
12/1/1987,01-10,106,27,CHANNEL
1/1/1988,01-10,103,16,CHANNEL
2/1/1988,01-10,99,26,CHANNEL
3/1/1988,01-10,99,23,CHANNEL
4/1/1988,01-10,100,22,CHANNEL
5/1/1988,01-10,97,25,CHANNEL
6/1/1988,01-10,95,19,CHANNEL
7/1/1988,01-10,97,25,CHANNEL
8/1/1988,01-10,118,30,CHANNEL
9/1/1988,01-10,90,17,CHANNEL
10/1/1988,01-10,115,22,CHANNEL
11/1/1988,01-10,100,39,CHANNEL
12/1/1988,01-10,97,34,CHANNEL
1/1/1989,01-10,95,29,CHANNEL
2/1/1989,01-10,105,27,CHANNEL
3/1/1989,01-10,97,32,CHANNEL
4/1/1989,01-10,106,20,CHANNEL
5/1/1989,01-10,94,18,CHANNEL
6/1/1989,01-10,94,25,CHANNEL
7/1/1989,01-10,99,23,CHANNEL
